datetime,demand,total_incl_noncombustion,gen_cost_marg,gen_cost_tot,co2_marg,co2_tot,so2_marg,so2_tot,nox_marg,nox_tot,dmg_easiur,biomass_mix,coal_mix,gas_mix,geothermal_mix,hydro_mix,nuclear_mix,oil_mix,marg_gen,coal_mix_marg,marg_gen_fuel_type,mmbtu_coal,mmbtu_gas,mmbtu_oil
2020-02-17 22:00:00,48110.340000000004,84222.0,22.960725498609413,830534.842420057,685.3099450820484,23252518.300340064,0.1397783164476089,3345.5774100697963,0.1642402604692016,6039.075639207037,0,0.0,6507.633344770963,41602.70665522904,0.0,0.0,0.0,0.0,0,0.5,gas,67962.59323889275,312568.1777822118,0.0
2020-02-17 23:00:00,46445.00166666667,80877.375,22.57647180973616,792647.2204824705,653.1301087123965,22409849.835885387,0.4714923785846128,3023.1751079685905,0.37319011618886394,5722.926901960196,0,0.0,6192.269070958543,40252.73259570813,0.0,0.0,0.0,0.0,0,0.5,gas,64872.55730070873,302359.5554664599,0.0
2020-02-18 00:00:00,45691.198333333334,78611.625,22.483496590389016,775673.70284953,669.2215344186395,22089046.535832014,0.4715561755487684,3035.424894640677,0.3769216268052964,5672.157198043299,0,0.0,6208.900000000001,39482.29833333333,0.0,0.0,0.0,0.0,0,0.5,gas,65036.66443526357,296107.2943795023,0.0
2020-02-18 01:00:00,45321.125,76514.625,22.458707176532215,767354.5462254852,655.9790675743056,21968687.839230776,0.47150590012678145,3072.7318918414767,0.3707493460479345,5691.683467812843,0,0.0,6249.400000000001,39071.725,0.0,0.0,0.0,0.0,0,0.5,gas,65436.30169743355,293143.6183003777,0.0
2020-02-18 02:00:00,45522.425,75317.625,22.483496590389016,771879.0881849815,669.2215344186395,22031535.77029347,0.4715561755487684,3049.592322827233,0.3769216268052964,5678.502767632947,0,0.0,6224.342925116305,39298.0820748837,0.0,0.0,0.0,0.0,0,0.5,gas,65189.048838062976,294764.40651293803,0.0
2020-02-18 03:00:00,46109.50166666666,74977.875,22.498789914529915,785079.0445193211,734.7348886354733,22227548.44386189,0.47837194535384353,2983.462599559539,0.5501105850430434,5650.441521068633,0,0.0,6152.4679479443685,39957.0337187223,0.0,0.0,0.0,0.0,0,0.5,gas,64479.81626780316,299658.58095323667,0.0
2020-02-18 04:00:00,48838.98666666667,77841.0,23.308464285714287,847400.9984445933,687.1020099690181,23570703.507330585,0.13977005253370553,3351.3798547011393,0.16112271270242143,6118.230530645443,0,0.0,6522.000000000001,42316.98666666667,0.0,0.0,0.0,0.0,0,0.5,gas,68113.4909647836,318224.9045657914,0.0
2020-02-18 05:00:00,48091.48166666667,81844.875,22.960725498609413,830101.841405029,685.3099450820484,23241487.94953284,0.1397783164476089,3344.0011336427283,0.1642402604692016,6037.0285492833855,0,0.0,6502.056561372778,41589.42510529389,0.0,0.0,0.0,0.0,0,0.5,gas,67904.01844057287,312465.7588654485,0.0
2020-02-18 06:00:00,51837.676666666666,86478.75,23.802391304347825,917832.8121249597,688.0904459648661,24790660.903067403,0.13977613590449983,3363.0196885696787,0.16087872575877543,6230.484294101887,0,0.0,6542.085530880557,45295.59113578611,0.0,0.0,0.0,0.0,0,0.5,gas,68324.45593087123,340479.2460944772,0.0
2020-02-18 07:00:00,48315.35833333334,87283.125,23.039042355072464,835253.2719415758,702.1768344823378,23341493.317182038,0.13984650277777808,3349.810384597352,0.2136165986822005,6054.6606487707395,0,0.0,6521.498484924042,41793.859848409295,0.0,0.0,0.0,0.0,0,0.5,gas,68108.22338626545,313975.2570170641,0.0
2020-02-18 08:00:00,37770.58,87813.0,20.857766033292396,602738.4385982136,1062.0636535323229,18164169.03405271,0.6872420071933605,2372.648376261954,0.7272682812950233,4571.036612011513,0,0.0,5107.343800734187,32663.236199265815,0.0,0.0,0.0,0.0,0,1.0,coal,53072.369630442445,244172.77363302768,0.0
2020-02-18 09:00:00,25635.478333333336,88160.625,17.930785078079815,367799.67876377504,680.2990273324164,12816145.460583074,0.27898763708215124,2010.4691160425132,0.3562001584368796,3405.792746939406,0,0.0,4216.101088737585,21419.37724459575,0.0,0.0,0.0,0.0,0,0.5,gas,43878.83692866355,160502.44042052838,0.0
2020-02-18 10:00:00,21721.280000000006,89149.5,16.85199767508308,299248.91388491786,806.0974898071127,11045070.482406523,0.27962338259497177,1921.8307986033667,0.38422175138106196,2879.4777648624745,0,0.0,4079.431877148331,17641.848122851676,0.0,0.0,0.0,0.0,0,0.5,gas,42442.47153821729,130170.04413655923,0.0
2020-02-18 11:00:00,25455.675000000003,87393.375,17.930785078079815,364575.6638374527,680.2990273324164,12742595.125325866,0.27898763708215124,2003.715369840939,0.3562001584368796,3395.3182874208514,0,0.0,4204.5205350652695,21251.154464934734,0.0,0.0,0.0,0.0,0,0.5,gas,43757.12768410369,159351.87007662133,0.0
2020-02-18 12:00:00,24293.981666666674,85786.875,17.719732727272724,343913.53201577626,775.0332761707491,12247744.765392201,0.2794665462313354,1979.7581089935068,0.5413855352045914,3305.7223364880333,0,0.0,4165.586084537547,20128.395582129127,0.0,0.0,0.0,0.0,0,0.5,gas,43347.93459237696,150892.4104187754,0.0
2020-02-18 13:00:00,23986.930000000004,84179.25,17.669581034342777,338480.99718426826,695.7806847275533,12128619.745520225,0.27906582830093973,1990.9850704999815,0.3613679542956445,3287.3890107312454,0,0.0,4187.050450801763,19799.879549198242,0.0,0.0,0.0,0.0,0,0.5,gas,43573.520680650014,148286.1591918089,0.0
2020-02-18 14:00:00,23477.780000000006,84267.0,17.599610298290248,329505.40080488194,763.1645996880652,11840425.912557658,0.2794098344468236,1938.787520107125,0.49715924376859155,3159.7368938978384,0,0.0,4094.980267588635,19382.79973241137,0.0,0.0,0.0,0.0,0,0.5,gas,42605.88193362308,144634.5354399044,0.0
2020-02-18 15:00:00,24152.913333333338,85243.5,17.669581034342777,341413.8531429519,695.7806847275533,12195611.440600293,0.27906582830093973,1993.2214284627607,0.3613679542956445,3294.5695999947757,0,0.0,4190.494088422786,19962.41924491055,0.0,0.0,0.0,0.0,0,0.5,gas,43609.712605945824,149465.3680815399,0.0
2020-02-18 16:00:00,32547.48166666667,88554.375,19.789307453874542,497773.38494088524,690.8598667609249,15901132.50160222,0.30250003286145233,2198.3189682568614,0.3783576229009744,4058.742514056875,0,0.0,4684.18227865465,27863.29938801202,0.0,0.0,0.0,0.0,0,0.5,gas,48779.170180998735,209514.36568480055,0.0
2020-02-18 17:00:00,48633.96000000001,89028.0,23.308464285714287,842622.1417069742,687.1020099690181,23440306.698141426,0.13977005253370553,3328.4447851395203,0.16112271270242143,6090.531650188186,0,0.0,6440.281484551115,42193.67851544889,0.0,0.0,0.0,0.0,0,0.5,gas,67255.17440133671,317320.9964002088,0.0
2020-02-18 18:00:00,51101.87333333334,91696.5,23.588250196166793,900415.212560801,686.4353817083867,24487631.809811007,0.13976643229860278,3365.6662968201695,0.15944294695364736,6185.95773569132,0,0.0,6557.410588301899,44544.46274503144,0.0,0.0,0.0,0.0,0,0.5,gas,68485.42007159574,334575.57727927034,0.0
2020-02-18 19:00:00,53595.00666666667,91224.0,24.239304772365973,959967.625708252,689.5027991335241,25547623.50280104,0.13978177414277113,3364.496598532696,0.1676519572807145,6406.031252270671,0,0.0,6533.460009422434,47061.54665724424,0.0,0.0,0.0,0.0,0,0.5,gas,68233.85922955812,354690.8573198154,0.0
2020-02-18 20:00:00,52246.86666666667,90216.0,23.802391304347825,927572.5126227858,688.0904459648661,24949662.82664713,0.13977613590449983,3366.253682942244,0.16087872575877543,6240.728601230802,0,0.0,6551.000000000001,45695.86666666667,0.0,0.0,0.0,0.0,0,0.5,gas,68418.08754492497,343265.01582930965,0.0
2020-02-18 21:00:00,53599.035,86848.875,24.239304772365973,960065.2697076434,689.5027991335241,25549855.849917963,0.13978177414277113,3364.715067586314,0.1676519572807145,6406.368822987111,0,0.0,6534.2200723155165,47064.814927684485,0.0,0.0,0.0,0.0,0,0.5,gas,68241.84242121072,354718.1729281283,0.0
2020-02-18 22:00:00,51774.015,84778.875,23.786697836101293,916318.4656588277,685.5992552320417,24749797.650254518,0.13976204605887968,3355.659392615362,0.16575240486191747,6221.356090499504,0,0.0,6515.842192797766,45258.17280720224,0.0,0.0,0.0,0.0,0,0.5,gas,68048.81348150875,340207.8613187951,0.0
2020-02-18 23:00:00,49581.573333333334,81832.5,23.362952536100924,864721.0159799197,760.2011988394074,23829626.873354223,0.14014136631944474,3327.9826915210724,0.17114827255173348,6117.3920808697285,0,0.0,6431.36894112905,43150.20439220429,0.0,0.0,0.0,0.0,0,0.5,gas,67161.5630135187,324707.352443984,0.0
2020-02-19 00:00:00,49847.14833333334,80823.375,23.40187534883721,870935.6500422064,685.1617477311225,23996656.677434474,0.13975968453768484,3355.9424943775507,0.16574618518704518,6153.0096177699525,0,0.0,6530.841526578599,43316.30680675474,0.0,0.0,0.0,0.0,0,0.5,gas,68206.3564392343,325961.0296224645,0.0
2020-02-19 01:00:00,48901.23333333334,79281.0,23.308464285714287,848851.872651498,687.1020099690181,23594031.78447747,0.13977005253370553,3351.49774259531,0.16112271270242143,6119.212946281515,0,0.0,6522.000000000001,42379.23333333334,0.0,0.0,0.0,0.0,0,0.5,gas,68113.4909647836,318657.62351537123,0.0
2020-02-19 02:00:00,48393.41166666667,77248.125,23.039042355072464,837051.545994197,702.1768344823378,23370045.53243381,0.13984650277777808,3349.2025796750568,0.2136165986822005,6059.4468760010495,0,0.0,6518.734096035153,41874.67757063152,0.0,0.0,0.0,0.0,0,0.5,gas,68079.18809655041,314561.4553405143,0.0
2020-02-19 03:00:00,49058.8,77584.5,23.308464285714287,852524.509674117,687.1020099690181,23653083.281785663,0.13977005253370553,3351.796155402283,0.16112271270242143,6121.699761485387,0,0.0,6522.000000000001,42536.8,0.0,0.0,0.0,0.0,0,0.5,gas,68113.4909647836,319752.9766666317,0.0
2020-02-19 04:00:00,51155.81166666667,78841.125,23.588250196166793,901687.5234626319,686.4353817083867,24507980.335534625,0.13976643229860278,3365.860416926383,0.15944294695364736,6186.728705180255,0,0.0,6557.745609005832,44598.066057660835,0.0,0.0,0.0,0.0,0,0.5,gas,68488.93890472315,334946.76765794185,0.0
2020-02-19 05:00:00,54505.75666666666,82086.75,24.64255878653348,982232.5021265917,429.85100576519915,25929067.529718235,0.002172078431372549,3368.7518442293135,0.15567749019607843,6440.517925329518,0,0.0,6542.000000000001,47963.75666666666,0.0,0.0,0.0,0.0,0,0.0,gas,68323.55757177765,361607.03469989856,0.0
2020-02-19 06:00:00,52930.576666666675,85646.25000000001,24.011170467045403,943938.9893222797,689.8062777860715,25276882.453201994,0.13978445356392635,3368.0455211297617,0.1599332598083904,6397.146432407555,0,0.0,6551.500000000001,46379.076666666675,0.0,0.0,0.0,0.0,0,0.5,gas,68423.33921009982,349331.7356377439,0.0
2020-02-19 07:00:00,53621.85333333333,87763.5,24.239304772365973,960618.3702437074,689.5027991335241,25562500.891034152,0.13978177414277113,3365.9525768180397,0.1676519572807145,6408.280978832697,0,0.0,6538.525418227465,47083.32791510587,0.0,0.0,0.0,0.0,0,0.5,gas,68287.06289159365,354872.9011008266,0.0
2020-02-19 08:00:00,38698.165,89992.125,21.336225932021467,622329.9951500633,734.4776446767764,18971690.36210769,0.35382178831186223,2690.728189235138,0.5294071556618598,4874.277133607069,0,0.0,5629.37092816354,33068.794071836455,0.0,0.0,0.0,0.0,0,0.5,gas,59475.777112599,247845.11429560397,0.0
2020-02-19 09:00:00,27587.138333333336,90082.125,18.423687174432494,403275.61433009274,690.3816346016552,13544096.3076159,0.2790384924345348,1974.0676547053044,0.3674544757153661,3458.686522157736,0,0.0,4143.374195369207,23443.764137964128,0.0,0.0,0.0,0.0,0,0.5,gas,43114.49219165749,175346.5968165906,0.0
2020-02-19 10:00:00,21824.24833333334,89328.375,16.8626917401065,300985.0548672144,688.568562295151,11114439.293980058,0.27902885491256024,1945.4420708413136,0.3588847253785557,2911.0001524387094,0,0.0,4121.6393965003235,17702.608936833018,0.0,0.0,0.0,0.0,0,0.5,gas,42886.063912160265,130676.60632426254,0.0
2020-02-19 11:00:00,23527.38166666667,87672.37500000001,17.599610298290248,330378.370808361,763.1645996880652,11875731.073194781,0.2794098344468236,1949.7863793984463,0.49715924376859155,3181.090829742291,0,0.0,4114.61426064419,19412.76740602248,0.0,0.0,0.0,0.0,0,0.5,gas,42812.23117478223,144927.59902620496,0.0
2020-02-19 12:00:00,22214.29666666667,85295.25,17.21559022591362,307604.65231240797,731.3627255213985,11273166.013949566,0.27924721116640033,1934.470311933327,0.3652086097143953,2905.8527130283,0,0.0,4100.27550105625,18114.02116561042,0.0,0.0,0.0,0.0,0,0.5,gas,42661.53375160586,134014.78612728068,0.0
2020-02-19 13:00:00,20797.706666666672,84568.50000000001,16.42773409286728,283925.53336343676,687.1914558785413,10732154.320136398,0.2790223055116384,1986.1214754950724,0.36256149245249053,2935.012238098862,0,0.0,4198.960513237649,16598.746153429023,0.0,0.0,0.0,0.0,0,0.5,gas,43698.692994750825,122162.2201007631,0.0
2020-02-19 14:00:00,20878.175000000007,85237.875,16.438182624584716,285248.09721095907,733.5226898071128,10739843.488488583,0.27925585878544795,1962.9074811533026,0.36533679794968943,2908.290174609124,0,0.0,4156.7670793415555,16721.40792065845,0.0,0.0,0.0,0.0,0,0.5,gas,43255.24865606119,123083.56443701233,0.0
2020-02-19 15:00:00,20491.09833333334,87643.125,16.34015553488372,278893.44608644786,736.5466398071128,10549184.485080047,0.2792727937060829,1932.2239661229607,0.3654734430477286,2862.2565536247703,0,0.0,4102.838490306581,16388.259843026757,0.0,0.0,0.0,0.0,0,0.5,gas,42688.47024309837,120543.19186288978,0.0
2020-02-19 16:00:00,30665.89333333334,90643.5,19.262287664450906,461105.04567561037,703.8525644725602,14842895.139363702,0.28572690436132175,2027.5180067081878,0.368751346393374,3666.707302732466,0,0.0,4280.408682155861,26385.484651177478,0.0,0.0,0.0,0.0,0,0.5,gas,44335.04807692409,197613.77821310383,0.0
2020-02-19 17:00:00,46660.37333333334,90211.5,22.647487158469946,797520.4424250056,954.9385881311846,22559154.480219018,0.7651697571379432,3105.5517874784437,0.6129842936559646,5792.757175745554,0,0.0,6308.224155777927,40352.14917755541,0.0,0.0,0.0,0.0,0,1.0,coal,66042.60408599467,303075.8559824921,0.0
2020-02-19 18:00:00,53278.555,92266.875,24.16677735729387,952305.9936793185,782.0661327645969,25403329.25282214,0.14024988636363664,3363.073574003122,0.17179003564544337,6396.6646981885315,0,0.0,6530.914859149817,46747.640140850184,0.0,0.0,0.0,0.0,0,0.5,gas,68207.12667545519,352061.0207207207,0.0
2020-02-19 19:00:00,53513.62666666667,92709.0,24.239304772365973,957995.031085877,689.5027991335241,25502525.842467874,0.13978177414277113,3360.0831078624233,0.1676519572807145,6399.211681338799,0,0.0,6518.1052924413025,46995.52137422537,0.0,0.0,0.0,0.0,0,0.5,gas,68072.58356467911,354139.0300452178,0.0
2020-02-19 20:00:00,52458.59333333334,91890.0,23.947723035144158,932613.8320988815,988.0841808706573,25026228.37148067,0.14129362777777807,3363.6863514307706,0.7833520911542744,6248.171391484619,0,0.0,6540.160676444899,45918.43265688844,0.0,0.0,0.0,0.0,0,0.5,gas,68304.23854885843,344887.82708132756,0.0
