"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","OP_HOUR","OP_TIME","GLOAD (MW)","SLOAD (1000lb/hr)","SO2_MASS (lbs)","SO2_MASS_MEASURE_FLG","SO2_RATE (lbs/mmBtu)","SO2_RATE_MEASURE_FLG","NOX_RATE (lbs/mmBtu)","NOX_RATE_MEASURE_FLG","NOX_MASS (lbs)","NOX_MASS_MEASURE_FLG","CO2_MASS (tons)","CO2_MASS_MEASURE_FLG","CO2_RATE (tons/mmBtu)","CO2_RATE_MEASURE_FLG","HEAT_INPUT (mmBtu)","FAC_ID","UNIT_ID"
"NM","Escalante","87","1","03-01-2020","0","1","121","","92.4","Measured",".08","Calculated",".257","Measured","297.375","Calculated","121.4","Measured",".105","Calculated","1157.1","14","59"
"NM","Escalante","87","1","03-01-2020","1","1","120","","79.2","Measured",".068","Calculated",".251","Measured","290.934","Calculated","121.6","Measured",".105","Calculated","1159.1","14","59"
"NM","Escalante","87","1","03-01-2020","2","1","117","","79.1","Measured",".069","Calculated",".245","Measured","282.044","Calculated","120.7","Measured",".105","Calculated","1151.2","14","59"
"NM","Escalante","87","1","03-01-2020","3","1","118","","80.2","Measured",".069","Calculated",".245","Measured","283.024","Calculated","121.2","Measured",".105","Calculated","1155.2","14","59"
"NM","Escalante","87","1","03-01-2020","4","1","122","","84.7","Measured",".071","Calculated",".237","Measured","281.935","Calculated","124.8","Measured",".105","Calculated","1189.6","14","59"
"NM","Escalante","87","1","03-01-2020","5","1","145","","138.8","Measured",".097","Calculated",".224","Measured","318.976","Calculated","149.3","Measured",".105","Calculated","1424","14","59"
"NM","Escalante","87","1","03-01-2020","6","1","142","","142.1","Measured",".104","Calculated",".239","Measured","327.382","Calculated","143.7","Measured",".105","Calculated","1369.8","14","59"
"NM","Escalante","87","1","03-01-2020","7","1","141","","142.5","Measured",".105","Calculated",".241","Measured","327.76","Calculated","142.6","Measured",".105","Calculated","1360","14","59"
"NM","Escalante","87","1","03-01-2020","8","1","119","","93.9","Measured",".083","Calculated",".262","Measured","297.58","Calculated","119.1","Measured",".105","Calculated","1135.8","14","59"
"NM","Escalante","87","1","03-01-2020","9","1","111","","70.5","Measured",".066","Calculated",".292","Measured","312.615","Calculated","112.3","Measured",".105","Calculated","1070.6","14","59"
"NM","Escalante","87","1","03-01-2020","10","1","106","","62.3","Measured",".061","Calculated",".268","Measured","273.36","Calculated","107","Measured",".105","Calculated","1020","14","59"
"NM","Escalante","87","1","03-01-2020","11","1","109","","68.3","Measured",".064","Calculated",".269","Measured","287.561","Calculated","112.1","Measured",".105","Calculated","1069","14","59"
"NM","Escalante","87","1","03-01-2020","12","1","127","","98.3","Measured",".081","Calculated",".246","Measured","298.029","Calculated","127.1","Measured",".105","Calculated","1211.5","14","59"
"NM","Escalante","87","1","03-01-2020","13","1","110","","69.2","Measured",".065","Calculated",".254","Measured","272.034","Calculated","112.3","Measured",".105","Calculated","1071","14","59"
"NM","Escalante","87","1","03-01-2020","14","1","106","","62.5","Measured",".061","Calculated",".259","Measured","265.164","Calculated","107.4","Measured",".105","Calculated","1023.8","14","59"
"NM","Escalante","87","1","03-01-2020","15","1","100","","54.8","Measured",".056","Calculated",".256","Measured","250.752","Calculated","102.7","Measured",".105","Calculated","979.5","14","59"
"NM","Escalante","87","1","03-01-2020","16","1","106","","62.5","Measured",".06","Calculated",".257","Measured","269.31","Calculated","109.9","Measured",".105","Calculated","1047.9","14","59"
"NM","Escalante","87","1","03-01-2020","17","1","114","","71.3","Measured",".065","Calculated",".262","Measured","289.3","Calculated","115.8","Measured",".105","Calculated","1104.2","14","59"
"NM","Escalante","87","1","03-01-2020","18","1","144","","127.8","Measured",".092","Calculated",".226","Measured","314.117","Calculated","145.8","Measured",".105","Calculated","1389.9","14","59"
"NM","Escalante","87","1","03-01-2020","19","1","146","","150.8","Measured",".107","Calculated",".226","Measured","317.982","Calculated","147.6","Measured",".105","Calculated","1407","14","59"
"NM","Escalante","87","1","03-01-2020","20","1","149","","113.6","Measured",".08","Calculated",".228","Measured","324.854","Calculated","149.4","Measured",".105","Calculated","1424.8","14","59"
"NM","Escalante","87","1","03-01-2020","21","1","145","","178","Measured",".127","Calculated",".226","Measured","316.377","Calculated","146.8","Measured",".105","Calculated","1399.9","14","59"
"NM","Escalante","87","1","03-01-2020","22","1","139","","132.7","Measured",".099","Calculated",".231","Measured","309.863","Calculated","140.7","Measured",".105","Calculated","1341.4","14","59"
"NM","Escalante","87","1","03-01-2020","23","1","141","","160.4","Measured",".119","Calculated",".218","Measured","294.714","Calculated","141.8","Measured",".105","Calculated","1351.9","14","59"
"NM","Escalante","87","1","03-02-2020","0","1","119","","103.8","Measured",".09","Calculated",".248","Measured","286.192","Calculated","121","Measured",".105","Calculated","1154","14","59"
"NM","Escalante","87","1","03-02-2020","1","1","118","","93.5","Measured",".081","Calculated",".252","Measured","290.808","Calculated","121","Measured",".105","Calculated","1154","14","59"
"NM","Escalante","87","1","03-02-2020","2","1","120","","79.7","Measured",".068","Calculated",".241","Measured","282.5","Calculated","122.9","Measured",".105","Calculated","1172.2","14","59"
"NM","Escalante","87","1","03-02-2020","3","1","123","","85.6","Measured",".072","Calculated",".238","Measured","283.72","Calculated","125","Measured",".105","Calculated","1192.1","14","59"
"NM","Escalante","87","1","03-02-2020","4","1","144","","130.2","Measured",".092","Calculated",".22","Measured","310.706","Calculated","148.1","Measured",".105","Calculated","1412.3","14","59"
"NM","Escalante","87","1","03-02-2020","5","1","147","","150.7","Measured",".104","Calculated",".222","Measured","321.079","Calculated","151.7","Measured",".105","Calculated","1446.3","14","59"
"NM","Escalante","87","1","03-02-2020","6","1","149","","186.4","Measured",".127","Calculated",".263","Measured","386.347","Calculated","154.1","Measured",".105","Calculated","1469","14","59"
"NM","Escalante","87","1","03-02-2020","7","1","133","","165.5","Measured",".125","Calculated",".282","Measured","372.466","Calculated","138.5","Measured",".105","Calculated","1320.8","14","59"
"NM","Escalante","87","1","03-02-2020","8","1","108","","82.1","Measured",".081","Calculated",".329","Measured","335.119","Calculated","106.8","Measured",".105","Calculated","1018.6","14","59"
"NM","Escalante","87","1","03-02-2020","9","1","101","","54.7","Measured",".056","Calculated",".315","Measured","309.866","Calculated","103.2","Measured",".105","Calculated","983.7","14","59"
"NM","Escalante","87","1","03-02-2020","10","1","102","","53.2","Measured",".054","Calculated",".377","Measured","370.403","Calculated","103","Measured",".105","Calculated","982.5","14","59"
"NM","Escalante","87","1","03-02-2020","11","1","102","","56.6","Measured",".055","Calculated",".305","Measured","316.377","Calculated","108.8","Measured",".105","Calculated","1037.3","14","59"
"NM","Escalante","87","1","03-02-2020","12","1","103","","55.6","Measured",".053","Calculated",".289","Measured","303.623","Calculated","110.2","Measured",".105","Calculated","1050.6","14","59"
"NM","Escalante","87","1","03-02-2020","13","1","103","","55.3","Measured",".052","Calculated",".266","Measured","280.79","Calculated","110.7","Measured",".105","Calculated","1055.6","14","59"
"NM","Escalante","87","1","03-02-2020","14","1","102","","52.7","Measured",".05","Calculated",".262","Measured","276.096","Calculated","110.5","Measured",".105","Calculated","1053.8","14","59"
"NM","Escalante","87","1","03-02-2020","15","1","102","","52.1","Measured",".049","Calculated",".26","Measured","274.586","Calculated","110.8","Measured",".105","Calculated","1056.1","14","59"
"NM","Escalante","87","1","03-02-2020","16","1","104","","52.7","Measured",".049","Calculated",".259","Measured","276.457","Calculated","112","Measured",".105","Calculated","1067.4","14","59"
"NM","Escalante","87","1","03-02-2020","17","1","123","","74.1","Measured",".059","Calculated",".245","Measured","308.161","Calculated","131.9","Measured",".105","Calculated","1257.8","14","59"
"NM","Escalante","87","1","03-02-2020","18","1","142","","117.1","Measured",".08","Calculated",".236","Measured","346","Calculated","153.8","Measured",".105","Calculated","1466.1","14","59"
"NM","Escalante","87","1","03-02-2020","19","1","148","","158.9","Measured",".105","Calculated",".232","Measured","349.74","Calculated","158.1","Measured",".105","Calculated","1507.5","14","59"
"NM","Escalante","87","1","03-02-2020","20","1","149","","189.1","Measured",".125","Calculated",".22","Measured","333.124","Calculated","158.8","Measured",".105","Calculated","1514.2","14","59"
"NM","Escalante","87","1","03-02-2020","21","1","148","","181.2","Measured",".12","Calculated",".222","Measured","334.532","Calculated","158","Measured",".105","Calculated","1506.9","14","59"
"NM","Escalante","87","1","03-02-2020","22","1","117","","100.6","Measured",".084","Calculated",".244","Measured","292.092","Calculated","125.5","Measured",".105","Calculated","1197.1","14","59"
"NM","Escalante","87","1","03-02-2020","23","1","136","","92.2","Measured",".065","Calculated",".229","Measured","324.585","Calculated","148.7","Measured",".105","Calculated","1417.4","14","59"
"NM","Escalante","87","1","03-03-2020","0","1","129","","73.4","Measured",".055","Calculated",".24","Measured","321.648","Calculated","140.6","Measured",".105","Calculated","1340.2","14","59"
"NM","Escalante","87","1","03-03-2020","1","1","134","","75.1","Measured",".054","Calculated",".238","Measured","329.154","Calculated","145.1","Measured",".105","Calculated","1383","14","59"
"NM","Escalante","87","1","03-03-2020","2","1","138","","79.5","Measured",".056","Calculated",".23","Measured","323.863","Calculated","147.7","Measured",".105","Calculated","1408.1","14","59"
