"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","OP_HOUR","OP_TIME","GLOAD (MW)","SLOAD (1000lb/hr)","SO2_MASS (lbs)","SO2_MASS_MEASURE_FLG","SO2_RATE (lbs/mmBtu)","SO2_RATE_MEASURE_FLG","NOX_RATE (lbs/mmBtu)","NOX_RATE_MEASURE_FLG","NOX_MASS (lbs)","NOX_MASS_MEASURE_FLG","CO2_MASS (tons)","CO2_MASS_MEASURE_FLG","CO2_RATE (tons/mmBtu)","CO2_RATE_MEASURE_FLG","HEAT_INPUT (mmBtu)","FAC_ID","UNIT_ID"
"WY","Dave Johnston","4158","BW41","04-01-2020","0","1","95","","709.3","Measured",".731","Calculated",".31","Measured","300.731","Calculated","101.7","Measured",".105","Calculated","970.1","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","1","1","93","","701.7","Measured",".737","Calculated",".306","Measured","291.281","Calculated","99.8","Measured",".105","Calculated","951.9","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","2","1","94","","700.5","Measured",".734","Calculated",".305","Measured","291.245","Calculated","100.1","Measured",".105","Calculated","954.9","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","3","1","94","","694.6","Measured",".723","Calculated",".335","Measured","322.002","Calculated","100.8","Measured",".105","Calculated","961.2","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","4","1","94","","690.2","Measured",".716","Calculated",".338","Measured","325.933","Calculated","101.1","Measured",".105","Calculated","964.3","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","5","1","95","","700","Measured",".72","Calculated",".342","Measured","332.356","Calculated","101.9","Measured",".105","Calculated","971.8","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","6","1","93","","681","Measured",".721","Calculated",".354","Measured","334.353","Calculated","99.1","Measured",".105","Calculated","944.5","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","7","1","93","","687.5","Measured",".724","Calculated",".348","Measured","330.565","Calculated","99.6","Measured",".105","Calculated","949.9","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","8","1","92","","701.1","Measured",".752","Calculated",".347","Measured","323.716","Calculated","97.8","Measured",".105","Calculated","932.9","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","9","1","91","","690.1","Measured",".732","Calculated",".325","Measured","306.313","Calculated","98.8","Measured",".105","Calculated","942.5","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","10","1","92","","684.4","Measured",".722","Calculated",".332","Measured","314.504","Calculated","99.4","Measured",".105","Calculated","947.3","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","11","1","92","","682.4","Measured",".714","Calculated",".33","Measured","315.315","Calculated","100.2","Measured",".105","Calculated","955.5","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","12","1","96","","694.5","Measured",".704","Calculated",".342","Measured","337.349","Calculated","103.4","Measured",".105","Calculated","986.4","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","13","1","96","","685.3","Measured",".689","Calculated",".354","Measured","352.088","Calculated","104.3","Measured",".105","Calculated","994.6","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","14","1","95","","650.9","Measured",".668","Calculated",".357","Measured","348.075","Calculated","102.3","Measured",".105","Calculated","975","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","15","1","93","","614.9","Measured",".639","Calculated",".335","Measured","322.404","Calculated","100.9","Measured",".105","Calculated","962.4","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","16","1","92","","623.1","Measured",".667","Calculated",".332","Measured","310.121","Calculated","98","Measured",".105","Calculated","934.1","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","17","1","96","","673.5","Measured",".675","Calculated",".339","Measured","338.017","Calculated","104.6","Measured",".105","Calculated","997.1","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","18","1","96","","694.8","Measured",".695","Calculated",".343","Measured","343.069","Calculated","104.9","Measured",".105","Calculated","1000.2","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","19","1","96","","695.6","Measured",".695","Calculated",".345","Measured","345.449","Calculated","105","Measured",".105","Calculated","1001.3","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","20","1","96","","694.9","Measured",".69","Calculated",".336","Measured","338.554","Calculated","105.7","Measured",".105","Calculated","1007.6","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2020","21","1","97","","713.7","Measured",".702","Calculated",".323","Measured","328.523","Calculated","106.7","Measured",".105","Calculated","1017.1","764","2633"
