"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","OP_HOUR","OP_TIME","GLOAD (MW)","SLOAD (1000lb/hr)","SO2_MASS (lbs)","SO2_MASS_MEASURE_FLG","SO2_RATE (lbs/mmBtu)","SO2_RATE_MEASURE_FLG","NOX_RATE (lbs/mmBtu)","NOX_RATE_MEASURE_FLG","NOX_MASS (lbs)","NOX_MASS_MEASURE_FLG","CO2_MASS (tons)","CO2_MASS_MEASURE_FLG","CO2_RATE (tons/mmBtu)","CO2_RATE_MEASURE_FLG","HEAT_INPUT (mmBtu)","FAC_ID","UNIT_ID"
"WY","Dave Johnston","4158","BW41","09-01-2020","0","1","93","","510.1","Measured",".52","Calculated",".301","Measured","295.401","Calculated","102.9","Measured",".105","Calculated","981.4","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","1","1","93","","498.7","Measured",".513","Calculated",".288","Measured","280.022","Calculated","102","Measured",".105","Calculated","972.3","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","2","1","92","","494.6","Measured",".512","Calculated",".299","Measured","288.804","Calculated","101.3","Measured",".105","Calculated","965.9","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","3","1","93","","491.2","Measured",".503","Calculated",".294","Measured","287.297","Calculated","102.5","Measured",".105","Calculated","977.2","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","4","1","90","","475.4","Measured",".501","Calculated",".293","Measured","278.057","Calculated","99.5","Measured",".105","Calculated","949","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","5","1","77","","394.4","Measured",".502","Calculated",".286","Measured","224.853","Calculated","82.5","Measured",".105","Calculated","786.2","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","6","1","75","","381.9","Measured",".498","Calculated",".257","Measured","197.273","Calculated","80.5","Measured",".105","Calculated","767.6","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","7","1","61","","267.6","Measured",".44","Calculated",".211","Measured","128.457","Calculated","63.9","Measured",".105","Calculated","608.8","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","8","1","55","","233.2","Measured",".406","Calculated",".17","Measured","97.614","Calculated","60.2","Measured",".105","Calculated","574.2","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","9","1","55","","233.9","Measured",".405","Calculated",".174","Measured","100.589","Calculated","60.6","Measured",".105","Calculated","578.1","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","10","1","56","","240.9","Measured",".412","Calculated",".172","Measured","100.5","Calculated","61.3","Measured",".105","Calculated","584.3","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","11","1","55","","237.2","Measured",".415","Calculated",".181","Measured","103.442","Calculated","59.9","Measured",".105","Calculated","571.5","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","12","1","55","","241.1","Measured",".415","Calculated",".176","Measured","102.326","Calculated","61","Measured",".105","Calculated","581.4","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","13","1","55","","245.3","Measured",".42","Calculated",".174","Measured","101.512","Calculated","61.2","Measured",".105","Calculated","583.4","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","14","1","55","","241.6","Measured",".421","Calculated",".18","Measured","103.392","Calculated","60.2","Measured",".105","Calculated","574.4","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","15","1","55","","245","Measured",".418","Calculated",".173","Measured","101.395","Calculated","61.5","Measured",".105","Calculated","586.1","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","16","1","55","","244.6","Measured",".421","Calculated",".177","Measured","102.802","Calculated","60.9","Measured",".105","Calculated","580.8","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","17","1","55","","238.5","Measured",".416","Calculated",".184","Measured","105.579","Calculated","60.2","Measured",".105","Calculated","573.8","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","18","1","55","","239","Measured",".412","Calculated",".199","Measured","115.46","Calculated","60.9","Measured",".105","Calculated","580.2","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","19","1","55","","242.1","Measured",".412","Calculated",".203","Measured","119.181","Calculated","61.6","Measured",".105","Calculated","587.1","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","20","1","59","","268.1","Measured",".419","Calculated",".197","Measured","126.041","Calculated","67.1","Measured",".105","Calculated","639.8","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","21","1","82","","436.5","Measured",".485","Calculated",".306","Measured","275.614","Calculated","94.5","Measured",".105","Calculated","900.7","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","22","1","84","","443.3","Measured",".485","Calculated",".33","Measured","301.323","Calculated","95.8","Measured",".105","Calculated","913.1","764","2633"
"WY","Dave Johnston","4158","BW41","09-01-2020","23","1","89","","450.9","Measured",".471","Calculated",".315","Measured","301.581","Calculated","100.4","Measured",".105","Calculated","957.4","764","2633"
"WY","Dave Johnston","4158","BW41","09-02-2020","0","1","89","","438","Measured",".457","Calculated",".3","Measured","287.79","Calculated","100.6","Measured",".105","Calculated","959.3","764","2633"
"WY","Dave Johnston","4158","BW41","09-02-2020","1","1","89","","431.2","Measured",".452","Calculated",".3","Measured","285.99","Calculated","100","Measured",".105","Calculated","953.3","764","2633"
"WY","Dave Johnston","4158","BW41","09-02-2020","2","1","90","","436","Measured",".448","Calculated",".285","Measured","277.562","Calculated","102.1","Measured",".105","Calculated","973.9","764","2633"
"WY","Dave Johnston","4158","BW41","09-02-2020","3","1","91","","440.8","Measured",".459","Calculated",".3","Measured","288.3","Calculated","100.8","Measured",".105","Calculated","961","764","2633"
"WY","Dave Johnston","4158","BW41","09-02-2020","4","1","92","","442.3","Measured",".452","Calculated",".285","Measured","278.987","Calculated","102.7","Measured",".105","Calculated","978.9","764","2633"
"WY","Dave Johnston","4158","BW41","09-02-2020","5","1","93","","438.9","Measured",".445","Calculated",".279","Measured","275.457","Calculated","103.5","Measured",".105","Calculated","987.3","764","2633"
"WY","Dave Johnston","4158","BW41","09-02-2020","6","1","92","","436.5","Measured",".445","Calculated",".29","Measured","284.287","Calculated","102.8","Measured",".105","Calculated","980.3","764","2633"
"WY","Dave Johnston","4158","BW41","09-02-2020","7","1","92","","430.5","Measured",".438","Calculated",".29","Measured","285.012","Calculated","103.1","Measured",".105","Calculated","982.8","764","2633"
"WY","Dave Johnston","4158","BW41","09-02-2020","8","1","85","","391.7","Measured",".439","Calculated",".297","Measured","264.805","Calculated","93.5","Measured",".105","Calculated","891.6","764","2633"
"WY","Dave Johnston","4158","BW41","09-02-2020","9","1","71","","323.5","Measured",".438","Calculated",".274","Measured","202.239","Calculated","77.4","Measured",".105","Calculated","738.1","764","2633"
"WY","Dave Johnston","4158","BW41","09-02-2020","10","1","71","","339.3","Measured",".456","Calculated",".268","Measured","199.606","Calculated","78.1","Measured",".105","Calculated","744.8","764","2633"
