"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","OP_HOUR","OP_TIME","GLOAD (MW)","SLOAD (1000lb/hr)","SO2_MASS (lbs)","SO2_MASS_MEASURE_FLG","SO2_RATE (lbs/mmBtu)","SO2_RATE_MEASURE_FLG","NOX_RATE (lbs/mmBtu)","NOX_RATE_MEASURE_FLG","NOX_MASS (lbs)","NOX_MASS_MEASURE_FLG","CO2_MASS (tons)","CO2_MASS_MEASURE_FLG","CO2_RATE (tons/mmBtu)","CO2_RATE_MEASURE_FLG","HEAT_INPUT (mmBtu)","FAC_ID","UNIT_ID"
"WY","Dave Johnston","4158","BW41","01-01-2020","0","1","59","","300.1","Measured",".46","Calculated",".251","Measured","163.928","Calculated","68.5","Measured",".105","Calculated","653.1","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","1","1","59","","297.6","Measured",".454","Calculated",".251","Measured","164.706","Calculated","68.8","Measured",".105","Calculated","656.2","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","2","1","60","","296.1","Measured",".455","Calculated",".247","Measured","160.674","Calculated","68.2","Measured",".105","Calculated","650.5","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","3","1","60","","287.4","Measured",".449","Calculated",".266","Measured","170.453","Calculated","67.2","Measured",".105","Calculated","640.8","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","4","1","60","","288.7","Measured",".446","Calculated",".251","Measured","162.372","Calculated","67.8","Measured",".105","Calculated","646.9","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","5","1","84","","473.1","Measured",".482","Calculated",".284","Measured","278.746","Calculated","102.9","Measured",".105","Calculated","981.5","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","6","1","98","","546.3","Measured",".474","Calculated",".369","Measured","425.236","Calculated","120.9","Measured",".105","Calculated","1152.4","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","7","1","98","","536.5","Measured",".465","Calculated",".355","Measured","409.244","Calculated","120.9","Measured",".105","Calculated","1152.8","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","8","1","98","","531.5","Measured",".463","Calculated",".306","Measured","351.104","Calculated","120.3","Measured",".105","Calculated","1147.4","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","9","1","98","","518.9","Measured",".454","Calculated",".261","Measured","298.427","Calculated","119.9","Measured",".105","Calculated","1143.4","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","10","1","97","","524.1","Measured",".459","Calculated",".293","Measured","334.782","Calculated","119.8","Measured",".105","Calculated","1142.6","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","11","1","94","","522.7","Measured",".474","Calculated",".286","Measured","315.172","Calculated","115.6","Measured",".105","Calculated","1102","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","12","1","94","","535.7","Measured",".484","Calculated",".279","Measured","308.63","Calculated","116","Measured",".105","Calculated","1106.2","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","13","1","94","","542.5","Measured",".487","Calculated",".286","Measured","318.747","Calculated","116.9","Measured",".105","Calculated","1114.5","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","14","1","95","","544.4","Measured",".49","Calculated",".29","Measured","322.306","Calculated","116.6","Measured",".105","Calculated","1111.4","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","15","1","94","","543.2","Measured",".493","Calculated",".3","Measured","330.6","Calculated","115.6","Measured",".105","Calculated","1102","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","16","1","94","","535.2","Measured",".483","Calculated",".296","Measured","327.938","Calculated","116.2","Measured",".105","Calculated","1107.9","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","17","1","94","","528.8","Measured",".478","Calculated",".301","Measured","332.786","Calculated","116","Measured",".105","Calculated","1105.6","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","18","1","94","","521","Measured",".47","Calculated",".397","Measured","439.638","Calculated","116.1","Measured",".105","Calculated","1107.4","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","19","1","95","","516.4","Measured",".467","Calculated",".393","Measured","434.933","Calculated","116.1","Measured",".105","Calculated","1106.7","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","20","1","95","","524.2","Measured",".469","Calculated",".389","Measured","434.513","Calculated","117.2","Measured",".105","Calculated","1117","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","21","1","95","","537.3","Measured",".478","Calculated",".387","Measured","434.833","Calculated","117.8","Measured",".105","Calculated","1123.6","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","22","1","94","","545.9","Measured",".494","Calculated",".386","Measured","426.53","Calculated","115.9","Measured",".105","Calculated","1105","764","2633"
"WY","Dave Johnston","4158","BW41","01-01-2020","23","1","94","","545","Measured",".491","Calculated",".361","Measured","401.035","Calculated","116.5","Measured",".105","Calculated","1110.9","764","2633"
"WY","Dave Johnston","4158","BW41","01-02-2020","0","1","95","","537","Measured",".483","Calculated",".358","Measured","397.81","Calculated","116.5","Measured",".105","Calculated","1111.2","764","2633"
"WY","Dave Johnston","4158","BW41","01-02-2020","1","1","95","","538.1","Measured",".485","Calculated",".355","Measured","394.192","Calculated","116.5","Measured",".105","Calculated","1110.4","764","2633"
"WY","Dave Johnston","4158","BW41","01-02-2020","2","1","96","","544","Measured",".481","Calculated",".347","Measured","392.492","Calculated","118.6","Measured",".105","Calculated","1131.1","764","2633"
"WY","Dave Johnston","4158","BW41","01-02-2020","3","1","96","","550.9","Measured",".483","Calculated",".35","Measured","398.895","Calculated","119.5","Measured",".105","Calculated","1139.7","764","2633"
"WY","Dave Johnston","4158","BW41","01-02-2020","4","1","96","","547.1","Measured",".481","Calculated",".358","Measured","407.01","Calculated","119.2","Measured",".105","Calculated","1136.9","764","2633"
"WY","Dave Johnston","4158","BW41","01-02-2020","5","1","94","","534.8","Measured",".485","Calculated",".365","Measured","402.778","Calculated","115.7","Measured",".105","Calculated","1103.5","764","2633"
"WY","Dave Johnston","4158","BW41","01-02-2020","6","1","92","","535.8","Measured",".492","Calculated",".359","Measured","390.987","Calculated","114.2","Measured",".105","Calculated","1089.1","764","2633"
"WY","Dave Johnston","4158","BW41","01-02-2020","7","1","91","","528.8","Measured",".487","Calculated",".351","Measured","381.502","Calculated","114","Measured",".105","Calculated","1086.9","764","2633"
"WY","Dave Johnston","4158","BW41","01-02-2020","8","1","92","","520.6","Measured",".479","Calculated",".353","Measured","383.923","Calculated","114.1","Measured",".105","Calculated","1087.6","764","2633"
"WY","Dave Johnston","4158","BW41","01-02-2020","9","1","95","","549.6","Measured",".492","Calculated",".33","Measured","368.709","Calculated","117.2","Measured",".105","Calculated","1117.3","764","2633"
"WY","Dave Johnston","4158","BW41","01-02-2020","10","1","101","","583.7","Measured",".491","Calculated",".302","Measured","358.987","Calculated","124.7","Measured",".105","Calculated","1188.7","764","2633"
"WY","Dave Johnston","4158","BW41","01-02-2020","11","1","101","","589.5","Measured",".496","Calculated",".3","Measured","356.4","Calculated","124.6","Measured",".105","Calculated","1188","764","2633"
