respondent_id,respondent_name,eia_code,nerc
224,"Orange & Rockland Utils., Inc.                                                  ",14154,NPCC
225,Orlando Utilities Commission                                                    ,14610,FRCC
226,Otter Tail Power Company                                                        ,14232,MRO
227,Pacific Gas and Electric Company                                                ,14328,WECC
228,PacifiCorp - East                                                               ,14354,WECC
229,PacifiCorp - West                                                               ,14355,WECC
230,PJM Interconnection LLC                                                         ,14725,RFC
231,Platte River Power Authority                                                    ,15143,WECC
232,Portland General Electric Company                                               ,15248,WECC
233,Progress Energy (Carolina Power & Light Company)                                ,3046,SERC
234,Progress Energy (Florida Power Corp.)                                           ,6455,FRCC
235,Public Service Company of Colorado                                              ,15466,WECC
236,Public Service Company of New Mexico                                            ,15473,WECC
237,PUD No. 1 of Chelan County                                                      ,3413,WECC
238,PUD No. 1 of Douglas County                                                     ,5326,WECC
239,PUD No. 2 of Grant County                                                       ,14624,WECC
240,"Puget Sound Energy, Inc.                                                        ",15500,WECC
241,Rochester Gas and Electric Corporation                                          ,16183,NPCC
242,Reedy Creek Improvement District                                                ,54849,FRCC
243,Sacramento Municipal Utility District                                           ,16534,WECC
244,Salt River Project                                                              ,16572,WECC
245,Sam Rayburn G&T Electric Coop.                                                  ,40233,SPP
246,San Diego Gas & Electric Company                                                ,16609,WECC
247,Seattle City Light                                                              ,16868,WECC
248,"Seminole Electric Cooperative, Inc.                                             ",21554,FRCC
249,Sierra Pacific Resources                                                        ,17166,WECC
250,Dominion Energy South Carolina                                                  ,17539,SERC
251,South Carolina Public Service Authority                                         ,17543,SERC
252,South Mississippi Electric Power Association                                    ,17568,SERC
253,Southern Company                                                                ,18195,SERC
254,Southern Illinois Power Coop                                                    ,17632,SERC
255,Southern Indiana Gas & Electric Company                                         ,17633,RFC
256,Southern Minnesota Municipal Power Agency                                       ,40580,MRO
257,Southwest Power Pool (SPP)                                                      ,17690,SPP
258,Southwestern Power Administration (DOE)                                         ,17716,SPP
259,Southwestern Public Service Company (Xcel)                                      ,17718,SPP
260,Square Butte Electric Coop                                                      ,17858,MRO
261,Sunflower Electric Power Corporation                                            ,18315,SPP
262,Tampa Electric Company                                                          ,18454,WECC
263,Tennessee Valley Authority                                                      ,18642,SERC
264,"Tex-La Electric Cooperative of Texas, Inc.                                      ",18679,SERC
265,"Tri-State G & T Assn., Inc.                                                     ",30151,WECC
266,Tucson Electric Power Company                                                   ,24211,WECC
267,Turlock Irrigation District                                                     ,19281,WECC
268,United Illuminating Company                                                     ,19497,NPCC
269,Upper Peninsula Power Company                                                   ,19578,MRO
271,"Wabash Valley Power Association, Inc.                                           ",40211,RFC
272,Western Area Power Admin - Upper Missouri-East (Upper Great Plains Region operat,28502,MRO
273,Western Area Power Administration - Colorado-Missouri Control Area (Rocky Mtn Re,28503,WECC
274,Western Area Power Administration - Lower Colorado control area  (Desert Southwe,19610,WECC
275,Western Area Power Administration - Upper Missouri West (Upper Great Plains Regi,25471,WECC
277,Western Farmers Electric Cooperative                                            ,20447,SPP
278,Wisconsin Electric Power Company                                                ,20847,MRO
279,Wisconsin Public Service Corporation                                            ,20860,MRO
280,"Wolverine Power Supply Coop., Inc.                                              ",20910,RFC
281,City of Springfield                                                             ,17828,SPP
282,Wisconsin Public Power Inc.                                                     ,20858,MRO
283,Minnesota Municipal Power Agency                                                ,12667,MRO
284,Missouri River Energy Services                                                  ,12710,MRO
285,"Minnkota Power Cooperative, Inc.                                                ",12658,MRO
